alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,0,0,0,0,0,0,0,0,4
11,0,0,0,0,0,1,0,0,4
4,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,4
11,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,4
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,4
7,0,0,0,0,0,0,0,0,-1
5,1,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,1,0,4
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,1,0,0,4
1,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,4
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,4
11,0,0,0,0,0,0,0,0,4
14,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,4
3,0,0,0,0,0,0,0,0,4
0,0,0,0,0,1,0,0,0,4
2,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,1,0,0,4
5,0,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,1,0,4
2,0,0,0,0,0,0,1,0,4
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,4
14,0,0,1,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,4
14,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
